SUBJECT,AGE,CONDITION,WORDS
1,old,counting,9
2,old,counting,8
3,old,counting,6
4,old,counting,8
5,old,counting,10
6,old,counting,4
7,old,counting,6
8,old,counting,5
9,old,counting,7
10,old,counting,7
11,old,rhyming,7
12,old,rhyming,9
13,old,rhyming,6
14,old,rhyming,6
15,old,rhyming,6
16,old,rhyming,11
17,old,rhyming,6
18,old,rhyming,3
19,old,rhyming,8
20,old,rhyming,7
21,old,adjective,11
22,old,adjective,13
23,old,adjective,8
24,old,adjective,6
25,old,adjective,14
26,old,adjective,11
27,old,adjective,13
28,old,adjective,13
29,old,adjective,10
30,old,adjective,11
31,old,imagery,12
32,old,imagery,11
33,old,imagery,16
34,old,imagery,11
35,old,imagery,9
36,old,imagery,23
37,old,imagery,12
38,old,imagery,10
39,old,imagery,19
40,old,imagery,11
41,old,intention,10
42,old,intention,19
43,old,intention,14
44,old,intention,5
45,old,intention,10
46,old,intention,11
47,old,intention,14
48,old,intention,15
49,old,intention,11
50,old,intention,11
51,young,counting,8
52,young,counting,6
53,young,counting,4
54,young,counting,6
55,young,counting,7
56,young,counting,6
57,young,counting,5
58,young,counting,7
59,young,counting,9
60,young,counting,7
61,young,rhyming,10
62,young,rhyming,7
63,young,rhyming,8
64,young,rhyming,10
65,young,rhyming,4
66,young,rhyming,7
67,young,rhyming,10
68,young,rhyming,6
69,young,rhyming,7
70,young,rhyming,7
71,young,adjective,14
72,young,adjective,11
73,young,adjective,18
74,young,adjective,14
75,young,adjective,13
76,young,adjective,22
77,young,adjective,17
78,young,adjective,16
79,young,adjective,12
80,young,adjective,11
81,young,imagery,20
82,young,imagery,16
83,young,imagery,16
84,young,imagery,15
85,young,imagery,18
86,young,imagery,16
87,young,imagery,20
88,young,imagery,22
89,young,imagery,14
90,young,imagery,19
91,young,intention,21
92,young,intention,19
93,young,intention,17
94,young,intention,15
95,young,intention,22
96,young,intention,16
97,young,intention,22
98,young,intention,22
99,young,intention,18
100,young,intention,21
